"ProcessId","ParentProcessId","Name","CommandLine"
"14320","1248","svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s NPSMSvc"
"14020","1248","NisSrv.exe",
"8100","1972","VoiceControlEngine.exe",
"15600","1972","MSI.TerminalServer.exe",
"15996","1476","PhoneExperienceHost.exe","""C:\Program Files\WindowsApps\Microsoft.YourPhone_1.26011.42.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe"" -ComServer:Background -Embedding"
"17900","1476","TextInputHost.exe","""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe"" -ServerName:InputApp.AppXk0k6mrh4r2q0ct33a9wgbez0x7v9cz5y.mca"
"17968","11344","CC_Engine_x64.exe",
"19028","9144","SecurityHealthSystray.exe","""C:\Windows\System32\SecurityHealthSystray.exe"" "
"18896","1248","SecurityHealthService.exe",
"18980","1248","svchost.exe",
"18688","19356","Discord.exe","""C:\Users\jeane\AppData\Local\Discord\app-1.0.9230\Discord.exe"" --start-minimized"
"19096","18688","Discord.exe","C:\Users\jeane\AppData\Local\Discord\app-1.0.9230\Discord.exe --type=crashpad-handler --user-data-dir=C:\Users\jeane\AppData\Roaming\discord /prefetch:4 --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\jeane\AppData\Roaming\discord\Crashpad --url=https://f.a.k/e --annotation=_productName=discord --annotation=_version=1.0.9230 --annotation=plat=Win64 --annotation=prod=Electron --annotation=ver=37.6.0 --initial-client-data=0x4dc,0x4e4,0x4e8,0x4e0,0x49c,0x7ff77b2fb074,0x7ff77b2fb080,0x7ff77b2fb090"
"19396","18688","Discord.exe","""C:\Users\jeane\AppData\Local\Discord\app-1.0.9230\Discord.exe"" --type=gpu-process --user-data-dir=""C:\Users\jeane\AppData\Roaming\discord"" --gpu-preferences=UAAAAAAAAADgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --field-trial-handle=1744,i,10041768059516653209,12842977364045316259,262144 --enable-features=EnableTransparentHwndEnlargement --disable-features=AllowAggressiveThrottlingWithWebSocket,HardwareMediaKeyHandling,IntensiveWakeUpThrottling,MediaSessionService,ScreenAIOCREnabled,SpareRendererForSitePerProcess,UseEcoQoSForBackgroundProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --mojo-platform-channel-handle=1740 /prefetch:2"
